City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,salalah,17.0151,54.0924,26.59,89,93,3.87,OM,2023-07-03 21:58:51
284,noyabrsk,63.1994,75.4507,17.06,77,40,5.15,RU,2023-07-03 22:00:37
285,banda aceh,5.5577,95.3222,25.94,84,94,3.19,ID,2023-07-03 21:58:09
286,brownwood,31.7093,-98.9912,36.62,37,0,4.63,US,2023-07-03 22:00:13
287,xuddur,4.1213,43.8894,22.83,68,85,7.27,SO,2023-07-03 22:00:37
288,mount isa,-20.7333,139.5,6.87,100,75,0.51,AU,2023-07-03 22:00:37
289,liverpool,53.4106,-2.9779,14.34,75,20,5.66,GB,2023-07-03 21:59:50
290,palmer,42.1584,-72.3287,28.79,66,75,0.49,US,2023-07-03 22:00:38
291,smithers,54.7804,-127.1743,26.22,29,2,1.46,CA,2023-07-03 22:00:38
292,bambous virieux,-20.3428,57.7575,20.68,71,74,8.0,MU,2023-07-03 22:00:38
293,gurupa,-1.405,-51.64,27.52,71,100,0.49,BR,2023-07-03 22:00:39
294,sarankhola,22.3082,89.7897,27.42,91,100,2.06,BD,2023-07-03 22:00:39
295,wukari,7.85,9.7833,25.17,85,32,2.78,NG,2023-07-03 22:00:39
296,nizhniy kuranakh,58.8353,125.4869,20.16,90,21,0.23,RU,2023-07-03 22:00:40
297,sisimiut,66.9395,-53.6735,7.61,89,100,2.65,GL,2023-07-03 22:00:40
298,pacific grove,36.6177,-121.9166,25.36,81,66,2.24,US,2023-07-03 22:00:40
299,aklavik,68.2191,-135.0107,29.36,29,11,4.78,CA,2023-07-03 22:00:40
